STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Italy,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bhutan,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,31.2,40.2,44.1,41.1,51.9,59.8,59.7,71.8,67.6,71.5,73.3,81.8,91.5,87.4,91.4,95.4,99.3,97.7,100.0,100.0,100.0,100.0,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SDN,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sudan,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,32.8,26.9192943572998,27.4086132049561,27.897253036499,28.3845348358154,28.8697834014893,29.35231590271,29.8314571380615,30.3065280914307,30.7767562866211,23.0,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20.0,29.0,36.0,38.3,40.7,43.1,44.9,48.0,50.5,53.0,55.3,57.6,59.7,61.8,63.2,66.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EGY,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Egypt, Arab Rep.",Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,93.4,95.3922424316406,95.6485366821289,95.5,96.1543273925781,96.4024658203125,96.6465225219727,96.8857345581055,97.7,97.4,97.5,98.8,97.8,99.4,99.0,98.4,99.8,98.9,99.4,99.4,99.7,99.9,99.8,99.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MUS,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mauritius,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,99.0415649414063,99.0706787109375,99.0996780395508,99.1280059814453,99.1549682617188,99.1798858642578,99.2020950317383,99.2208938598633,99.2356185913086,99.2455062866211,99.0,99.2,99.4,99.1,99.0,99.0,99.0,99.0,99.0,99.0,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100.0,99.5,99.6,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UMC,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Upper middle income,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,93.38358928283503,93.82840663203595,94.41201990270082,94.58798974140373,95.3152544864712,95.0821595977721,96.00972700175359,96.09446858374233,96.61423810295234,97.12562953054004,97.64319515813355,97.9642268083969,98.133055889863,98.34215604221684,98.5568206636916,98.61851663268668,98.77568783227552,98.95311263072689,99.02839319054223,99.1399228186704,99.13957973523155,99.38720575920453,99.35376158144739,99.392898640485
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HKG,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Hong Kong SAR, China",Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ABW,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Aruba,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,100.0,99.1536560058594,99.1971282958984,99.2399139404297,100.0,100.0,100.0,100.0,100.0,100.0,91.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAO,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lao PDR,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,31.0,25.6057929992676,25.0,31.2476997375488,34.0638961791992,36.8760108947754,39.6832847595215,42.6,45.3,46.3,48.0,53.5,57.2,57.0,55.0,66.0,67.4,70.2,70.0,76.4,79.3,82.5,89.7,89.0,93.6,92.9,98.4,99.3,100.0,100.0,96.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_EG_ELC_ACCS_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uzbekistan,Access to electricity (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,99.6,99.3797454833984,99.449348449707,99.5141143798828,99.6,99.6,99.7,99.5,99.5,99.4,99.5,99.5,99.5,99.5,99.6,99.7,99.7,99.8,99.8,99.9,99.9,100.0,100.0,100.0,100.0,99.9,100.0,100.0
