STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IBT,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,IDA & IBRD total,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,955.8800405341498,953.9268929710876,969.9761155742466,991.9069506135666,1043.9321519362477,1080.0742275295668,1106.8382292789313,1115.394171256047,1155.2362783454637,1217.269875008159,1281.1985281723332,1327.3061062648192,1374.0608286358088,1432.856221890492,1484.2402228660399,1510.934256691654,1571.8981312619883,1611.7004302852076,1638.3247936671305,1679.3655427315284,1723.5608268307606,1719.8973080796502,1726.941910675539,1712.8029087258074,1754.942681666828,1794.8734534295563,1825.2896864192091,1873.1366659007797,1912.060091731294,1928.2543136696502,1932.553694489414,1922.21767480433,1919.7660460719485,1951.1917584811438,1982.7438907709643,2028.120684740965,2102.720865825164,2177.7338964040778,2202.0084980707547,2247.125590322617,2340.828751748529,2391.8655780499794,2466.375349278671,2572.957583422673,2731.209172234082,2886.6526610994774,3079.2014775042894,3302.825260696759,3449.820396369798,3504.473781888724,3721.631190087579,3898.1292467861654,4049.024017346322,4204.1114505154965,4349.5016466237685,4477.244096537582,4614.086855623724,4788.104789965342,4959.058363159835,5097.1350886918035,4975.192051243467,5288.487516770479,5440.777713638891,5634.164826923169,5825.505419677317,6018.613070313993
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHE,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Switzerland,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,36945.46866006991,38279.50217994982,38910.840664007104,40117.182738330455,42150.56328452867,43258.88247981767,43704.187889633635,44618.71741928814,45663.51560277628,47414.21223348766,50120.27197386367,50328.91495317459,51089.77415335404,52726.32723084729,54120.38264103822,55526.28243141889,56435.4712369923,55723.20310811869,56694.13104981332,58753.08728461447,59515.08399571134,59459.60269359952,59851.32377986616,60727.92816593175,63069.54014488253,64148.27408186341,65532.7953421245,67306.5686611113,68523.50585960636,69776.21978778759,69584.57676263737,67932.78545921165,66409.49146138605,64448.10642966457,66503.93118776733,68765.80048957448,68846.2811295722,70121.29264507185,71854.11768638992,72713.70684205444,74933.27700775524,75646.17811441314,75361.69416073854,74592.02846909546,75997.44531547613,77741.34361047045,80448.96967816124,82909.13582914593,83934.76572212465,81288.642957612,83069.42763734554,83307.31809984651,83354.02074851879,83914.02450808117,85004.81345339998,85265.06205192996,85951.22341483452,86362.36097286202,88581.08269355842,88932.4119306425,86293.91834411552,90924.9256769825,93360.44011246398,92947.94244415683,93018.37687066967,93327.59374030442
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Argentina,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7397.109654956817,7670.595455716408,7480.27172420174,6967.750195552209,7551.024907787894,8219.551556372287,8041.224874114749,8172.274564690418,8436.308563510305,9111.945974855102,9244.122517851532,9614.610616921336,9617.688149437368,9729.532588859032,10100.446913616313,9936.495834478945,9584.748517510385,10088.337487163539,9480.94009490414,10284.606408755193,10275.798702388625,9587.673794234255,9365.684653878474,9617.700056957498,9614.44726215357,8973.318748658132,9378.468663943491,9484.458766380523,9236.807713025346,8445.410092342801,8115.093863707533,8729.823185188916,9293.18692251748,9920.673585824366,10359.892720487082,9934.10776139515,10352.14000021914,11056.688133100206,11348.202212467326,10838.319934638723,10631.650363902858,10051.944846304337,8861.56199282278,9545.531941199944,10302.446531642796,11099.75091906017,11870.27915592978,12811.902120657798,13197.357026702915,12285.378465186532,13387.15537484578,14040.618912444359,13754.42542355963,13946.095083225156,13456.131915915059,13679.626498095417,13265.886063912345,13520.112984615893,13058.328544995426,12706.397810896759,11393.050595787674,12549.281169934175,13276.823211018853,12993.092887241564,12774.350659662765,13287.115952748936
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GRC,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Greece,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4985.760495160354,5599.497262497904,5586.542232742459,6225.129334715799,6786.241485619806,7481.903300995472,7909.245078978531,8289.86933775607,8829.422589704229,9814.497919675523,10666.62087762436,11453.212347724306,12535.127683123577,13488.12439501788,12573.348201747109,13248.921262309666,13938.538597816156,14162.991090639882,14993.68914178656,15293.931317753688,15246.994403615958,14876.117200496396,14617.23522306948,14375.69965899418,14591.863053672938,14900.086225883259,14927.761341949892,14541.860309211166,15110.414666476028,15602.973320759662,15438.793702358347,15727.47354347442,15717.04638162002,15374.862626536882,15604.033994424226,15857.416193085643,16005.951156971109,16501.031649131823,16973.82937140709,17358.434697829427,18002.90646139847,18742.42357806911,19548.36774473961,20632.25570419422,21688.105095955776,21880.526583580104,23220.53244191973,23973.693609131267,23923.88007313115,22878.134664439658,21547.724178239,19448.255802524982,17924.662049688624,17644.876663502073,17903.525244001194,17980.72982381374,18049.928997892017,18352.088446125785,18769.03896219764,19216.675957978474,17486.95133332298,19231.288880351654,20550.50491582973,21050.86481115808,21494.68560605987,21921.686274718402
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6751.235968998344,6032.130599878825,5753.068077391501,5768.729022580473,5982.612907808085,6333.381681340711,6631.87841890302,6792.763210650534,6983.391185258465,7127.723651736705,7450.88371486209,7730.971372567351,8057.239101394453,8405.64953510181,8923.8782160842,9387.617456051043,10036.50977258232,10712.58515821857,11177.014673133432,10792.858773342985,10998.682371605011,11421.759651916633,11544.571327754145,11662.010734238926,12076.18238561671,12596.91511360034,12991.57421930951,13696.493179429905,14412.011545253292,15024.049490870446,14621.174024699298,15739.24413178253,16396.996639729237,16496.672877909194,16862.826109038804,17304.750889272804
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAN,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Panama,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2543.3887956899957,2738.9205762543447,2876.8569027655467,3029.187087754574,3068.9421603666597,3250.8237403445546,3394.6940811311965,3578.2539460753223,3718.613243880656,3918.908533892857,4074.7725619641683,4343.148600068576,4418.271677409134,4530.757532934971,4520.038879211416,4480.699450159223,4441.082630615325,4379.721139325108,4693.265411632531,4789.063600308075,5288.474557208003,5640.286416790432,5803.4055509020345,5413.925900211818,5432.1828643584195,5570.803090681119,5640.369893196884,5416.485164268167,4590.313091867215,4563.168823439364,4828.75878297145,5172.606919599952,5480.880622944998,5661.076258325978,5703.673389851358,5686.40441004349,5799.885600961335,6122.6466478840985,6504.970118817738,6709.722760884155,6856.149190058468,6787.8626789734835,6825.177474371661,7037.081657003492,7468.765931398013,7935.871350608215,8557.980177036403,9507.646410738544,10288.154991149253,10267.063315199344,10698.071763391103,11761.498854760359,12668.294547410489,13236.830675444859,13611.54908095592,14082.654850272787,14474.124363634935,15045.54564268271,15375.650085570336,15602.531520970882,12647.09142272787,14552.934527176767,15956.067108787272,16877.15434256459,17122.716879528925,17650.234153661382
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYR,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Syrian Arab Republic,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,517.1305145120155,556.2543630603099,672.5607272583267,596.1976948703887,631.8614719216234,626.6273362985731,560.7062616455546,588.0168843217185,590.7094597381663,679.2571756468467,645.5741698912464,680.2055811267821,826.2099212474684,715.1597401829382,869.8456736317332,978.2906793703164,1061.234807623558,1006.9492440226132,1069.7452569947347,1043.217366274,1155.1276462400474,1204.0476218617514,1197.2494547924764,1183.9309969359986,1056.1241083031928,1114.9620591066341,991.1092125499152,973.6191279693096,1110.6213319582996,927.8056251009583,931.884004809498,972.284722031189,1065.2034769008162,1097.109154617972,1142.0626749939145,1188.1740389135036,1270.0497970539489,1299.2970827757233,1352.1263528765244,1271.3208224148482,1248.3834585756435,1264.3214079119955,1331.1257935312326,1307.4812498013143,1363.6138135408976,1411.6316668591967,1420.7201405210703,1411.6890969872934,1423.594073048332,1484.4071804915475,1526.3651859026063,1542.7190396110634,1142.2921506499433,884.3288169052619,847.6589098138555,847.7315453525824,802.9686079012629,795.8818171532163,792.4128647204415,771.5179482891918,753.1353057094769,746.0774587683892,716.9438439338559,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ATG,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Antigua and Barbuda,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,6062.49730867664,6310.855280341189,6795.6931906894915,7323.125855379089,7584.592527482956,7564.221823677108,7951.664825526486,8766.990576152204,9479.642511063721,10620.998192489287,11383.202467969571,12037.426533326505,12729.290432483325,13166.524117358156,13385.011436329456,13326.27287964956,13776.826413678094,14420.46939791943,13519.528771116595,14117.86791273334,14588.307984157562,14991.780261068401,15282.973398590697,15961.091835905803,15003.438916903362,14968.070301388256,15703.934714549147,16433.41305414829,17301.21343175177,19259.64865179069,20770.2689732844,20464.786306604976,17746.70085604098,16135.39738448699,15633.909113182119,15989.39001997786,15748.195202422616,15967.28499671196,16077.634076940634,16635.895232831048,16992.932749523585,18042.159643572733,18525.25889071669,14950.89423972081,16084.721440604813,17359.267481110808,17938.31868280469,18304.583676203747,19130.30229250541
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRT,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Portugal,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4066.967227074592,4257.653880171023,4506.635605922985,4752.125214846607,5049.218554524,5448.517258668318,5713.628380853936,6183.791749706916,6761.487899743474,6967.12459996009,7669.771951123536,8213.105045245196,8885.140731942853,9877.280454488096,9851.78068681759,9072.050937252094,9426.106999550959,9849.083602649356,10017.75798820543,10469.813614565688,10832.526844145796,10912.774350882348,11077.872959610311,11007.506132559409,10759.113077641618,11030.953441669137,11477.29659807636,12212.99850729231,13141.296619978373,14008.105957079919,14593.270605356864,15265.879301836598,15444.200616124592,15110.139255833925,15214.930753640834,15811.717136927939,16304.379446395864,16946.08686510795,17671.313508291234,18258.09117209429,18822.09330929374,19053.08994565903,19095.110247739798,18846.541189363186,19137.83708989491,19251.714506830045,19529.312210047658,19979.57062807921,20014.4749330004,19371.131887685497,19698.68367913974,19389.639589616218,18679.76267895936,18597.72146239644,18836.89679789059,19215.781301434683,19662.82312461998,20364.196273594596,20997.77459870127,21569.1874752919,19778.713952572198,20747.69907341633,22042.868028364705,22417.163406090614,22663.993126224977,22851.117921657235
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OSS,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Other small states,GDP per capita (constant 2015 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2015 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,4983.170528943134,5690.870080693414,6148.267195175369,6458.430652268252,7278.2896012565525,6951.820338586445,6314.98924625253,6392.727400985512,6346.227309669282,6409.223306036466,6421.560886383836,6431.444753150276,6696.125888013217,6773.209802452638,6831.217956662431,7041.270206102216,6865.111099681663,6599.550088147102,6589.917368648929,6720.0830732481645,6965.837447957054,7114.489301536713,7459.462391497142,7613.41865752936,7801.2774419796715,8345.850138912276,8462.077218214625,8607.045202132498,8857.864664485061,9162.013505462495,9484.436951843718,9957.089408708105,10374.844572202803,10341.128995405616,9697.483443566449,9827.792795230269,10048.952536280422,10062.23876503496,10035.650528322687,10136.414459849471,10359.116777392077,10667.349810190211,11078.920682682006,11423.956836889114,11766.368689451425,10967.167100196957,11725.948410404795,12090.277930740624,12357.387278889824,12591.767864675665,12852.422166209977
